id,id_client,id_service,service,frequence,nbr_article,date_rdv,heure_rdv,prix_total,statut
43,5,3,Nettoyage canapé,Ponctuelle,1,2025-01-11,14:00,49.0,Annulé
44,47,2,Nettoyage vitres,Ponctuelle,5,2025-01-11,13:00,125.0,Annulé
45,83,4,Nettoyage tapis,Mensuelle,1,2025-01-11,09:00,29.0,Annulé
46,209,3,Nettoyage canapé,Mensuelle,3,2025-01-11,17:00,147.0,Réalisé
47,417,3,Nettoyage canapé,Ponctuelle,1,2025-01-14,12:00,49.0,Réalisé
48,329,2,Nettoyage vitres,Mensuelle,2,2025-01-14,09:00,50.0,Réalisé
49,206,3,Nettoyage canapé,Ponctuelle,3,2025-01-14,15:00,147.0,Réalisé
50,304,5,Nettoyage matelas,Ponctuelle,1,2025-01-15,09:00,45.0,Réalisé
51,94,4,Nettoyage tapis,Ponctuelle,1,2025-01-15,10:00,29.0,Réalisé
52,11,2,Nettoyage vitres,Ponctuelle,3,2025-01-15,11:00,75.0,Annulé
53,491,3,Nettoyage canapé,Ponctuelle,2,2025-01-16,16:00,98.0,Réalisé
54,223,5,Nettoyage matelas,Mensuelle,1,2025-01-16,18:00,45.0,Réalisé
55,115,5,Nettoyage matelas,Ponctuelle,3,2025-01-16,17:00,135.0,Réalisé
56,148,1,Nettoyage voiture,Mensuelle,3,2025-01-16,11:00,117.0,Réalisé
57,111,2,Nettoyage vitres,Ponctuelle,1,2025-01-16,09:00,25.0,Annulé
58,210,1,Nettoyage voiture,Ponctuelle,2,2025-01-16,19:00,78.0,Réalisé
59,352,1,Nettoyage voiture,Mensuelle,1,2025-01-17,11:00,39.0,Réalisé
60,38,2,Nettoyage vitres,Ponctuelle,1,2025-01-17,17:00,25.0,Réalisé
61,466,1,Nettoyage voiture,Ponctuelle,1,2025-01-17,15:00,39.0,Réalisé
62,364,3,Nettoyage canapé,Mensuelle,2,2025-01-17,19:00,98.0,Réalisé
63,155,1,Nettoyage voiture,Ponctuelle,1,2025-01-17,13:00,39.0,Annulé
64,22,3,Nettoyage canapé,Trimestrielle,1,2025-01-17,12:00,49.0,Réalisé
65,450,1,Nettoyage voiture,Trimestrielle,2,2025-01-17,18:00,78.0,Réalisé
66,134,1,Nettoyage voiture,Ponctuelle,2,2025-01-17,16:00,78.0,Réalisé
67,252,2,Nettoyage vitres,Mensuelle,1,2025-01-18,09:00,25.0,Réalisé
68,409,1,Nettoyage voiture,Ponctuelle,3,2025-01-18,11:00,117.0,Réalisé
69,241,1,Nettoyage voiture,Ponctuelle,1,2025-01-18,16:00,39.0,Réalisé
70,475,4,Nettoyage tapis,Trimestrielle,1,2025-01-18,13:00,29.0,Réalisé
71,235,2,Nettoyage vitres,Ponctuelle,5,2025-01-18,14:00,125.0,Réalisé
72,48,5,Nettoyage matelas,Ponctuelle,3,2025-01-18,12:00,135.0,Réalisé
73,14,4,Nettoyage tapis,Trimestrielle,2,2025-01-21,19:00,58.0,Réalisé
74,476,5,Nettoyage matelas,Ponctuelle,1,2025-01-21,16:00,45.0,Annulé
75,426,5,Nettoyage matelas,Ponctuelle,1,2025-01-21,12:00,45.0,Réalisé
76,166,1,Nettoyage voiture,Ponctuelle,1,2025-01-22,15:00,39.0,Réalisé
77,48,4,Nettoyage tapis,Ponctuelle,2,2025-01-22,19:00,58.0,Réalisé
78,46,1,Nettoyage voiture,Mensuelle,5,2025-01-22,12:00,195.0,Réalisé
79,332,1,Nettoyage voiture,Ponctuelle,1,2025-01-22,08:00,39.0,Réalisé
80,222,3,Nettoyage canapé,Ponctuelle,1,2025-01-22,13:00,49.0,Réalisé
81,184,5,Nettoyage matelas,Ponctuelle,4,2025-01-22,16:00,180.0,Réalisé
82,454,5,Nettoyage matelas,Ponctuelle,2,2025-01-22,18:00,90.0,Réalisé
83,366,5,Nettoyage matelas,Ponctuelle,2,2025-01-23,09:00,90.0,Réalisé
84,149,3,Nettoyage canapé,Ponctuelle,2,2025-01-23,14:00,98.0,Réalisé
85,66,1,Nettoyage voiture,Ponctuelle,3,2025-01-23,13:00,117.0,Réalisé
86,369,3,Nettoyage canapé,Ponctuelle,1,2025-01-24,12:00,49.0,Réalisé
87,258,1,Nettoyage voiture,Ponctuelle,1,2025-01-24,11:00,39.0,Réalisé
88,432,4,Nettoyage tapis,Mensuelle,1,2025-01-24,16:00,29.0,Réalisé
89,301,1,Nettoyage voiture,Ponctuelle,3,2025-01-24,14:00,117.0,Réalisé
90,175,4,Nettoyage tapis,Mensuelle,1,2025-01-24,19:00,29.0,Annulé
91,383,5,Nettoyage matelas,Ponctuelle,1,2025-01-24,15:00,45.0,Annulé
92,250,5,Nettoyage matelas,Ponctuelle,5,2025-01-25,15:00,225.0,Réalisé
93,494,4,Nettoyage tapis,Mensuelle,2,2025-01-25,17:00,58.0,Réalisé
94,8,2,Nettoyage vitres,Ponctuelle,1,2025-01-25,09:00,25.0,Réalisé
95,14,4,Nettoyage tapis,Ponctuelle,2,2025-01-25,18:00,58.0,Réalisé
96,321,3,Nettoyage canapé,Ponctuelle,2,2025-01-25,20:00,98.0,Réalisé
97,249,5,Nettoyage matelas,Ponctuelle,2,2025-01-28,16:00,90.0,Réalisé
98,292,5,Nettoyage matelas,Ponctuelle,2,2025-01-28,11:00,90.0,Réalisé
99,434,2,Nettoyage vitres,Ponctuelle,1,2025-01-28,09:00,25.0,Réalisé
100,306,5,Nettoyage matelas,Mensuelle,3,2025-01-28,12:00,135.0,Réalisé
101,263,5,Nettoyage matelas,Ponctuelle,1,2025-01-28,15:00,45.0,Réalisé
102,250,3,Nettoyage canapé,Mensuelle,2,2025-01-28,17:00,98.0,Réalisé
103,372,2,Nettoyage vitres,Ponctuelle,1,2025-01-29,17:00,25.0,Réalisé
104,466,2,Nettoyage vitres,Ponctuelle,1,2025-01-29,13:00,25.0,Réalisé
105,240,5,Nettoyage matelas,Mensuelle,3,2025-01-29,16:00,135.0,Réalisé
106,427,1,Nettoyage voiture,Trimestrielle,2,2025-01-29,09:00,78.0,Annulé
107,213,1,Nettoyage voiture,Ponctuelle,2,2025-01-30,18:00,78.0,Annulé
108,10,3,Nettoyage canapé,Ponctuelle,1,2025-01-30,13:00,49.0,Réalisé
109,441,1,Nettoyage voiture,Ponctuelle,2,2025-01-30,15:00,78.0,Réalisé
110,317,1,Nettoyage voiture,Ponctuelle,1,2025-01-30,10:00,39.0,Réalisé
111,431,5,Nettoyage matelas,Ponctuelle,1,2025-01-31,13:00,45.0,Réalisé
112,440,5,Nettoyage matelas,Ponctuelle,3,2025-01-31,19:00,135.0,Annulé
113,446,4,Nettoyage tapis,Ponctuelle,3,2025-02-01,17:00,87.0,Réalisé
114,435,3,Nettoyage canapé,Ponctuelle,1,2025-02-01,09:00,49.0,Réalisé
115,428,5,Nettoyage matelas,Ponctuelle,3,2025-02-01,20:00,135.0,Réalisé
116,191,2,Nettoyage vitres,Ponctuelle,2,2025-02-01,10:00,50.0,Réalisé
117,386,2,Nettoyage vitres,Ponctuelle,2,2025-02-01,11:00,50.0,Réalisé
118,85,1,Nettoyage voiture,Trimestrielle,1,2025-02-04,14:00,39.0,Réalisé
119,78,2,Nettoyage vitres,Trimestrielle,1,2025-02-04,19:00,25.0,Annulé
120,339,1,Nettoyage voiture,Mensuelle,2,2025-02-04,18:00,78.0,Réalisé
121,207,5,Nettoyage matelas,Ponctuelle,2,2025-02-05,12:00,90.0,Réalisé
122,334,1,Nettoyage voiture,Mensuelle,2,2025-02-05,14:00,78.0,Réalisé
123,398,2,Nettoyage vitres,Ponctuelle,3,2025-02-05,18:00,75.0,Réalisé
124,372,2,Nettoyage vitres,Ponctuelle,1,2025-02-05,16:00,25.0,Réalisé
125,110,5,Nettoyage matelas,Ponctuelle,2,2025-02-05,19:00,90.0,Réalisé
126,64,5,Nettoyage matelas,Ponctuelle,1,2025-02-06,18:00,45.0,Réalisé
127,378,3,Nettoyage canapé,Ponctuelle,1,2025-02-06,10:00,49.0,Réalisé
128,299,3,Nettoyage canapé,Ponctuelle,1,2025-02-07,13:00,49.0,Réalisé
129,218,4,Nettoyage tapis,Ponctuelle,1,2025-02-07,11:00,29.0,Réalisé
130,244,1,Nettoyage voiture,Trimestrielle,1,2025-02-07,17:00,39.0,Réalisé
131,287,1,Nettoyage voiture,Ponctuelle,2,2025-02-07,16:00,78.0,Réalisé
132,263,3,Nettoyage canapé,Trimestrielle,1,2025-02-08,16:00,49.0,Réalisé
133,383,1,Nettoyage voiture,Ponctuelle,1,2025-02-08,19:00,39.0,Réalisé
134,437,3,Nettoyage canapé,Ponctuelle,4,2025-02-08,15:00,196.0,Réalisé
135,79,1,Nettoyage voiture,Ponctuelle,2,2025-02-08,20:00,78.0,Réalisé
136,15,2,Nettoyage vitres,Ponctuelle,1,2025-02-08,17:00,25.0,Réalisé
137,247,3,Nettoyage canapé,Ponctuelle,1,2025-02-11,10:00,49.0,Réalisé
138,244,3,Nettoyage canapé,Mensuelle,4,2025-02-11,17:00,196.0,Réalisé
139,326,5,Nettoyage matelas,Ponctuelle,1,2025-02-11,14:00,45.0,Réalisé
140,167,2,Nettoyage vitres,Mensuelle,1,2025-02-11,08:00,25.0,Réalisé
141,461,3,Nettoyage canapé,Ponctuelle,2,2025-02-11,12:00,98.0,Réalisé
142,425,5,Nettoyage matelas,Ponctuelle,1,2025-02-13,11:00,45.0,Réalisé
143,311,5,Nettoyage matelas,Mensuelle,1,2025-02-13,17:00,45.0,Réalisé
144,175,3,Nettoyage canapé,Trimestrielle,1,2025-02-13,16:00,49.0,Réalisé
145,209,1,Nettoyage voiture,Ponctuelle,1,2025-02-14,13:00,39.0,Réalisé
146,366,1,Nettoyage voiture,Ponctuelle,5,2025-02-14,14:00,195.0,Réalisé
147,261,1,Nettoyage voiture,Ponctuelle,2,2025-02-15,15:00,78.0,Réalisé
148,238,2,Nettoyage vitres,Ponctuelle,1,2025-02-15,10:00,25.0,Réalisé
149,468,1,Nettoyage voiture,Ponctuelle,1,2025-02-15,14:00,39.0,Réalisé
150,127,1,Nettoyage voiture,Ponctuelle,5,2025-02-15,11:00,195.0,Réalisé
151,229,3,Nettoyage canapé,Ponctuelle,1,2025-02-15,20:00,49.0,Réalisé
152,192,3,Nettoyage canapé,Trimestrielle,1,2025-02-15,17:00,49.0,Réalisé
153,493,1,Nettoyage voiture,Trimestrielle,1,2025-02-15,16:00,39.0,Annulé
154,431,5,Nettoyage matelas,Ponctuelle,3,2025-02-18,15:00,135.0,Réalisé
155,154,1,Nettoyage voiture,Ponctuelle,2,2025-02-18,17:00,78.0,Réalisé
156,144,3,Nettoyage canapé,Mensuelle,3,2025-02-18,12:00,147.0,Réalisé
157,453,1,Nettoyage voiture,Mensuelle,2,2025-02-18,10:00,78.0,Réalisé
158,69,5,Nettoyage matelas,Trimestrielle,1,2025-02-19,13:00,45.0,Réalisé
159,345,1,Nettoyage voiture,Trimestrielle,1,2025-02-19,18:00,39.0,Réalisé
160,202,3,Nettoyage canapé,Ponctuelle,2,2025-02-19,12:00,98.0,Réalisé
161,16,4,Nettoyage tapis,Ponctuelle,2,2025-02-19,15:00,58.0,Réalisé
162,11,5,Nettoyage matelas,Ponctuelle,1,2025-02-20,09:00,45.0,Réalisé
163,418,3,Nettoyage canapé,Ponctuelle,2,2025-02-20,13:00,98.0,Réalisé
164,253,2,Nettoyage vitres,Ponctuelle,2,2025-02-20,14:00,50.0,Annulé
165,311,1,Nettoyage voiture,Mensuelle,1,2025-02-20,18:00,39.0,Réalisé
166,446,1,Nettoyage voiture,Ponctuelle,3,2025-02-20,17:00,117.0,Réalisé
167,439,4,Nettoyage tapis,Trimestrielle,1,2025-02-21,16:00,29.0,Réalisé
168,348,3,Nettoyage canapé,Ponctuelle,3,2025-02-21,15:00,147.0,Réalisé
169,349,5,Nettoyage matelas,Ponctuelle,2,2025-02-21,10:00,90.0,Réalisé
170,370,3,Nettoyage canapé,Ponctuelle,2,2025-02-22,19:00,98.0,Réalisé
171,3,1,Nettoyage voiture,Ponctuelle,1,2025-02-22,20:00,39.0,Réalisé
172,15,2,Nettoyage vitres,Ponctuelle,1,2025-02-25,13:00,25.0,Réalisé
173,172,4,Nettoyage tapis,Ponctuelle,2,2025-02-25,09:00,58.0,Réalisé
174,427,1,Nettoyage voiture,Trimestrielle,1,2025-02-25,17:00,39.0,Réalisé
175,398,2,Nettoyage vitres,Trimestrielle,3,2025-02-25,08:00,75.0,Réalisé
176,64,2,Nettoyage vitres,Ponctuelle,1,2025-02-25,11:00,25.0,Réalisé
177,196,3,Nettoyage canapé,Ponctuelle,2,2025-02-26,13:00,98.0,Réalisé
178,404,3,Nettoyage canapé,Mensuelle,1,2025-02-26,09:00,49.0,Réalisé
179,451,1,Nettoyage voiture,Mensuelle,1,2025-02-26,10:00,39.0,Réalisé
180,14,1,Nettoyage voiture,Ponctuelle,2,2025-02-26,08:00,78.0,Réalisé
181,305,2,Nettoyage vitres,Ponctuelle,1,2025-02-26,15:00,25.0,Réalisé
182,300,1,Nettoyage voiture,Ponctuelle,1,2025-02-27,17:00,39.0,Réalisé
183,454,5,Nettoyage matelas,Ponctuelle,3,2025-02-27,11:00,135.0,Réalisé
184,150,1,Nettoyage voiture,Ponctuelle,1,2025-02-27,19:00,39.0,Réalisé
185,30,1,Nettoyage voiture,Ponctuelle,2,2025-02-27,10:00,78.0,Réalisé
186,170,3,Nettoyage canapé,Ponctuelle,5,2025-02-28,08:00,245.0,Réalisé
187,169,3,Nettoyage canapé,Ponctuelle,1,2025-02-28,14:00,49.0,Réalisé
188,113,3,Nettoyage canapé,Ponctuelle,3,2025-02-28,13:00,147.0,Annulé
189,110,3,Nettoyage canapé,Ponctuelle,2,2025-02-28,11:00,98.0,Réalisé
190,379,4,Nettoyage tapis,Ponctuelle,4,2025-02-28,16:00,116.0,Réalisé
191,185,2,Nettoyage vitres,Trimestrielle,2,2025-03-01,15:00,50.0,Réalisé
192,454,1,Nettoyage voiture,Ponctuelle,1,2025-03-01,11:00,39.0,Réalisé
193,101,1,Nettoyage voiture,Ponctuelle,3,2025-03-01,09:00,117.0,Réalisé
194,347,5,Nettoyage matelas,Ponctuelle,4,2025-03-01,14:00,180.0,Réalisé
195,108,3,Nettoyage canapé,Ponctuelle,4,2025-03-01,18:00,196.0,Réalisé
196,482,1,Nettoyage voiture,Ponctuelle,3,2025-03-01,16:00,117.0,Réalisé
197,472,2,Nettoyage vitres,Ponctuelle,1,2025-03-04,14:00,25.0,Réalisé
198,405,3,Nettoyage canapé,Ponctuelle,1,2025-03-04,09:00,49.0,Réalisé
199,65,1,Nettoyage voiture,Ponctuelle,2,2025-03-04,18:00,78.0,Réalisé
200,42,5,Nettoyage matelas,Ponctuelle,4,2025-03-04,10:00,180.0,Réalisé
201,199,4,Nettoyage tapis,Ponctuelle,2,2025-03-04,16:00,58.0,Réalisé
202,238,3,Nettoyage canapé,Ponctuelle,2,2025-03-04,19:00,98.0,Réalisé
203,121,1,Nettoyage voiture,Ponctuelle,4,2025-03-05,19:00,156.0,Réalisé
204,479,2,Nettoyage vitres,Ponctuelle,4,2025-03-05,13:00,100.0,Réalisé
205,152,1,Nettoyage voiture,Mensuelle,1,2025-03-05,16:00,39.0,Réalisé
206,319,2,Nettoyage vitres,Ponctuelle,2,2025-03-05,15:00,50.0,Réalisé
207,263,2,Nettoyage vitres,Mensuelle,1,2025-03-06,13:00,25.0,Réalisé
208,61,1,Nettoyage voiture,Ponctuelle,1,2025-03-06,15:00,39.0,Réalisé
209,169,1,Nettoyage voiture,Ponctuelle,1,2025-03-06,19:00,39.0,Réalisé
210,98,4,Nettoyage tapis,Mensuelle,3,2025-03-06,12:00,87.0,Réalisé
211,77,3,Nettoyage canapé,Mensuelle,2,2025-03-07,10:00,98.0,Réalisé
212,120,1,Nettoyage voiture,Ponctuelle,2,2025-03-07,16:00,78.0,Réalisé
213,237,4,Nettoyage tapis,Mensuelle,3,2025-03-07,12:00,87.0,Réalisé
214,483,1,Nettoyage voiture,Ponctuelle,3,2025-03-07,08:00,117.0,Réalisé
215,192,1,Nettoyage voiture,Ponctuelle,1,2025-03-07,17:00,39.0,Réalisé
216,256,5,Nettoyage matelas,Mensuelle,1,2025-03-07,19:00,45.0,Réalisé
217,410,5,Nettoyage matelas,Ponctuelle,5,2025-03-08,15:00,225.0,Réalisé
218,105,3,Nettoyage canapé,Trimestrielle,3,2025-03-08,20:00,147.0,Annulé
219,169,1,Nettoyage voiture,Ponctuelle,1,2025-03-08,19:00,39.0,Réalisé
220,54,3,Nettoyage canapé,Ponctuelle,4,2025-03-08,17:00,196.0,Réalisé
221,14,1,Nettoyage voiture,Ponctuelle,3,2025-03-08,13:00,117.0,Réalisé
222,120,1,Nettoyage voiture,Ponctuelle,5,2025-03-08,11:00,195.0,Réalisé
223,6,3,Nettoyage canapé,Ponctuelle,1,2025-03-08,16:00,49.0,Réalisé
224,57,5,Nettoyage matelas,Ponctuelle,1,2025-03-08,09:00,45.0,Réalisé
225,104,1,Nettoyage voiture,Ponctuelle,2,2025-03-11,14:00,78.0,Réalisé
226,74,3,Nettoyage canapé,Ponctuelle,1,2025-03-11,15:00,49.0,Réalisé
227,169,5,Nettoyage matelas,Ponctuelle,2,2025-03-11,09:00,90.0,Annulé
228,378,5,Nettoyage matelas,Ponctuelle,1,2025-03-11,19:00,45.0,Réalisé
229,432,3,Nettoyage canapé,Ponctuelle,4,2025-03-11,11:00,196.0,Réalisé
230,322,1,Nettoyage voiture,Ponctuelle,3,2025-03-12,10:00,117.0,Réalisé
231,462,3,Nettoyage canapé,Mensuelle,1,2025-03-12,14:00,49.0,Réalisé
232,189,3,Nettoyage canapé,Ponctuelle,5,2025-03-12,11:00,245.0,Réalisé
233,231,1,Nettoyage voiture,Ponctuelle,3,2025-03-12,19:00,117.0,Réalisé
234,328,1,Nettoyage voiture,Ponctuelle,1,2025-03-12,18:00,39.0,Réalisé
235,384,1,Nettoyage voiture,Ponctuelle,4,2025-03-13,19:00,156.0,Réalisé
236,366,3,Nettoyage canapé,Ponctuelle,1,2025-03-13,15:00,49.0,Annulé
237,88,1,Nettoyage voiture,Mensuelle,3,2025-03-13,14:00,117.0,Réalisé
238,380,3,Nettoyage canapé,Ponctuelle,1,2025-03-13,13:00,49.0,Réalisé
239,79,1,Nettoyage voiture,Ponctuelle,3,2025-03-13,17:00,117.0,Réalisé
240,273,1,Nettoyage voiture,Trimestrielle,2,2025-03-13,18:00,78.0,Réalisé
241,329,3,Nettoyage canapé,Mensuelle,3,2025-03-13,09:00,147.0,Réalisé
242,228,3,Nettoyage canapé,Mensuelle,1,2025-03-13,11:00,49.0,Réalisé
243,491,5,Nettoyage matelas,Ponctuelle,2,2025-03-14,11:00,90.0,Réalisé
244,86,4,Nettoyage tapis,Ponctuelle,3,2025-03-14,19:00,87.0,Réalisé
245,321,3,Nettoyage canapé,Ponctuelle,3,2025-03-14,13:00,147.0,Réalisé
246,62,1,Nettoyage voiture,Trimestrielle,2,2025-03-14,18:00,78.0,Réalisé
247,335,1,Nettoyage voiture,Ponctuelle,1,2025-03-14,16:00,39.0,Réalisé
248,418,2,Nettoyage vitres,Ponctuelle,1,2025-03-14,08:00,25.0,Réalisé
249,211,3,Nettoyage canapé,Trimestrielle,1,2025-03-14,14:00,49.0,Réalisé
250,275,3,Nettoyage canapé,Ponctuelle,5,2025-03-14,15:00,245.0,Réalisé
251,49,5,Nettoyage matelas,Ponctuelle,2,2025-03-14,17:00,90.0,Réalisé
252,262,1,Nettoyage voiture,Ponctuelle,4,2025-03-15,19:00,156.0,Réalisé
253,120,1,Nettoyage voiture,Trimestrielle,2,2025-03-15,15:00,78.0,Réalisé
254,220,4,Nettoyage tapis,Ponctuelle,1,2025-03-15,11:00,29.0,Réalisé
255,152,3,Nettoyage canapé,Ponctuelle,1,2025-03-15,14:00,49.0,Réalisé
256,372,2,Nettoyage vitres,Ponctuelle,2,2025-03-15,18:00,50.0,Réalisé
257,143,5,Nettoyage matelas,Ponctuelle,2,2025-03-15,17:00,90.0,Réalisé
258,213,4,Nettoyage tapis,Mensuelle,1,2025-03-15,20:00,29.0,Réalisé
259,170,1,Nettoyage voiture,Mensuelle,1,2025-03-15,16:00,39.0,Réalisé
260,481,5,Nettoyage matelas,Trimestrielle,1,2025-03-18,18:00,45.0,Réalisé
261,478,1,Nettoyage voiture,Mensuelle,2,2025-03-18,11:00,78.0,Réalisé
262,85,3,Nettoyage canapé,Ponctuelle,1,2025-03-18,19:00,49.0,Réalisé
263,147,1,Nettoyage voiture,Ponctuelle,1,2025-03-18,14:00,39.0,Réalisé
264,247,5,Nettoyage matelas,Mensuelle,1,2025-03-18,13:00,45.0,Réalisé
265,226,5,Nettoyage matelas,Ponctuelle,1,2025-03-18,09:00,45.0,Réalisé
266,157,3,Nettoyage canapé,Ponctuelle,1,2025-03-19,17:00,49.0,Réalisé
267,70,2,Nettoyage vitres,Ponctuelle,2,2025-03-19,14:00,50.0,Réalisé
268,442,1,Nettoyage voiture,Ponctuelle,4,2025-03-19,10:00,156.0,Réalisé
269,482,4,Nettoyage tapis,Trimestrielle,1,2025-03-19,15:00,29.0,Réalisé
270,302,4,Nettoyage tapis,Ponctuelle,1,2025-03-19,08:00,29.0,Réalisé
271,478,5,Nettoyage matelas,Ponctuelle,5,2025-03-19,18:00,225.0,Réalisé
272,324,1,Nettoyage voiture,Mensuelle,1,2025-03-20,12:00,39.0,Réalisé
273,310,1,Nettoyage voiture,Ponctuelle,2,2025-03-20,13:00,78.0,Réalisé
274,488,3,Nettoyage canapé,Ponctuelle,1,2025-03-20,16:00,49.0,Réalisé
275,365,1,Nettoyage voiture,Ponctuelle,1,2025-03-20,15:00,39.0,Annulé
276,266,2,Nettoyage vitres,Trimestrielle,2,2025-03-20,18:00,50.0,Annulé
277,355,5,Nettoyage matelas,Ponctuelle,1,2025-03-20,17:00,45.0,Réalisé
278,384,4,Nettoyage tapis,Ponctuelle,1,2025-03-21,16:00,29.0,Réalisé
279,1,2,Nettoyage vitres,Mensuelle,5,2025-03-21,18:00,125.0,Réalisé
280,148,4,Nettoyage tapis,Ponctuelle,1,2025-03-21,14:00,29.0,Réalisé
281,102,1,Nettoyage voiture,Mensuelle,1,2025-03-21,12:00,39.0,Réalisé
282,109,3,Nettoyage canapé,Ponctuelle,1,2025-03-21,17:00,49.0,Réalisé
283,133,1,Nettoyage voiture,Mensuelle,1,2025-03-21,15:00,39.0,Annulé
284,56,5,Nettoyage matelas,Trimestrielle,1,2025-03-21,13:00,45.0,Réalisé
285,341,1,Nettoyage voiture,Trimestrielle,1,2025-03-22,15:00,39.0,Réalisé
286,4,5,Nettoyage matelas,Ponctuelle,1,2025-03-22,10:00,45.0,Réalisé
287,249,3,Nettoyage canapé,Ponctuelle,5,2025-03-22,13:00,245.0,Réalisé
288,456,2,Nettoyage vitres,Ponctuelle,1,2025-03-22,19:00,25.0,Réalisé
289,205,2,Nettoyage vitres,Ponctuelle,1,2025-03-22,14:00,25.0,Réalisé
290,52,1,Nettoyage voiture,Ponctuelle,1,2025-03-22,09:00,39.0,Réalisé
291,474,5,Nettoyage matelas,Mensuelle,1,2025-03-22,18:00,45.0,Réalisé
292,359,3,Nettoyage canapé,Ponctuelle,3,2025-03-22,17:00,147.0,Réalisé
293,348,5,Nettoyage matelas,Mensuelle,5,2025-03-25,11:00,225.0,Réalisé
294,42,3,Nettoyage canapé,Ponctuelle,1,2025-03-25,13:00,49.0,Réalisé
295,338,5,Nettoyage matelas,Ponctuelle,4,2025-03-25,15:00,180.0,Réalisé
296,100,5,Nettoyage matelas,Ponctuelle,2,2025-03-25,17:00,90.0,Réalisé
297,367,5,Nettoyage matelas,Mensuelle,3,2025-03-25,14:00,135.0,Réalisé
